Time,Open,High,Low,Close,Volume
2020-03-16 00:00:00,5346.86,5350.3,5175.0,5202.79,1667.67067555
2020-03-16 00:15:00,5203.04,5280.0,5196.61,5262.25,445.48362238
2020-03-16 00:30:00,5262.25,5288.59,5227.0,5260.92,266.01967773
2020-03-16 00:45:00,5261.19,5277.3,5229.11,5235.85,254.81951203
2020-03-16 01:00:00,5235.86,5267.0,5198.0,5267.0,497.23819263
2020-03-16 01:15:00,5267.0,5279.98,5242.18,5278.29,410.40956616
2020-03-16 01:30:00,5278.29,5291.67,5250.57,5255.19,375.20350612
2020-03-16 01:45:00,5258.27,5293.68,5258.27,5288.55,277.45426571
2020-03-16 02:00:00,5288.56,5350.0,5274.86,5313.44,473.20488148
2020-03-16 02:15:00,5311.04,5339.17,5291.44,5318.0,220.14027448
2020-03-16 02:30:00,5317.99,5317.99,5278.38,5299.6,210.75889385
2020-03-16 02:45:00,5299.38,5328.44,5291.02,5323.87,196.89716456
2020-03-16 03:00:00,5324.7,5324.71,5260.23,5272.12,277.90181713
2020-03-16 03:15:00,5272.12,5296.79,5266.13,5286.81,370.51750082
2020-03-16 03:30:00,5286.8,5307.53,5268.0,5269.04,252.11226625
2020-03-16 03:45:00,5269.04,5281.21,5236.0,5260.57,278.96402514
2020-03-16 04:00:00,5259.1,5262.07,5216.22,5248.15,215.65165011
2020-03-16 04:15:00,5248.15,5291.0,5248.1,5284.86,199.82355961
2020-03-16 04:30:00,5284.87,5287.51,5255.0,5259.12,138.75012788
2020-03-16 04:45:00,5259.4,5268.0,5226.87,5226.87,200.18027527
2020-03-16 05:00:00,5228.21,5263.0,5225.0,5260.3,163.13953513
2020-03-16 05:15:00,5260.3,5263.79,5221.0,5229.27,161.42038531
2020-03-16 05:30:00,5227.33,5243.27,5196.95,5215.59,344.49045381
2020-03-16 05:45:00,5219.61,5227.27,5125.0,5147.68,802.92400238
2020-03-16 06:00:00,5147.67,5147.67,4896.9,5019.17,3638.47143552
2020-03-16 06:15:00,5015.65,5038.75,4980.13,5001.21,389.47289076
2020-03-16 06:30:00,5003.49,5022.0,4956.0,4957.55,711.6515897
2020-03-16 06:45:00,4956.06,5043.39,4940.0,5015.33,650.68939204
2020-03-16 07:00:00,5009.52,5013.58,4954.7,4991.35,471.56012269
2020-03-16 07:15:00,4991.22,4991.22,4895.01,4937.65,621.94073239
2020-03-16 07:30:00,4939.83,4955.4,4785.0,4893.89,2037.18336185
2020-03-16 07:45:00,4893.89,4953.64,4773.0,4774.67,731.11591279
2020-03-16 08:00:00,4774.68,4883.92,4770.01,4838.24,564.77721109
2020-03-16 08:15:00,4839.85,4843.34,4792.68,4821.39,420.98215949
2020-03-16 08:30:00,4817.45,4895.45,4817.4,4851.83,412.57206297
2020-03-16 08:45:00,4851.51,4929.99,4847.56,4897.17,335.19195909
2020-03-16 09:00:00,4895.16,4898.83,4815.15,4817.43,317.65172947
2020-03-16 09:15:00,4817.44,4874.56,4809.87,4851.16,228.55878895
2020-03-16 09:30:00,4855.89,4890.53,4845.22,4850.58,264.1429277
2020-03-16 09:45:00,4851.31,4858.78,4793.61,4809.55,302.63261029
2020-03-16 10:00:00,4810.61,4813.63,4450.0,4503.42,4158.49830163
2020-03-16 10:15:00,4501.04,4643.15,4482.75,4548.85,1376.45373703
2020-03-16 10:30:00,4551.42,4587.21,4494.14,4542.93,870.96657494
2020-03-16 10:45:00,4545.0,4559.01,4432.3,4441.85,989.7560754
2020-03-16 11:00:00,4444.33,4589.62,4433.14,4548.45,877.90022564
2020-03-16 11:15:00,4548.0,4608.32,4548.0,4601.9,668.01943536
2020-03-16 11:30:00,4602.97,4615.82,4509.11,4554.75,563.41494909
2020-03-16 11:45:00,4554.75,4598.0,4534.07,4572.65,558.77896568
2020-03-16 12:00:00,4570.08,4950.0,4544.46,4794.82,2303.17140535
2020-03-16 12:15:00,4794.8,4884.32,4633.01,4664.8,1316.76486315
2020-03-16 12:30:00,4663.53,4787.71,4656.46,4757.53,1057.84287505
2020-03-16 12:45:00,4757.52,4840.0,4715.44,4770.67,1186.00044269
2020-03-16 13:00:00,4768.94,4772.24,4621.5,4648.96,1041.35301122
2020-03-16 13:15:00,4655.78,4690.33,4550.0,4582.06,1147.66881454
2020-03-16 13:30:00,4586.05,4789.94,4502.78,4638.03,2786.33690901
2020-03-16 13:45:00,4641.18,4924.79,4550.05,4847.28,2776.0671482
2020-03-16 14:00:00,4845.5,4889.0,4767.15,4868.06,1805.87252272
2020-03-16 14:15:00,4859.49,5065.28,4811.25,4957.28,2264.91638051
2020-03-16 14:30:00,4959.6,5123.0,4957.42,5006.06,2215.79500676
2020-03-16 14:45:00,5006.06,5023.69,4905.0,4940.35,1242.67664424
2020-03-16 15:00:00,4941.24,5045.88,4922.26,5030.32,906.96971299
2020-03-16 15:15:00,5034.39,5150.0,4992.16,5103.24,1574.55838146
2020-03-16 15:30:00,5103.24,5130.0,5041.63,5075.85,1016.1910321
2020-03-16 15:45:00,5070.83,5173.25,5036.78,5153.43,1125.24260162
2020-03-16 16:00:00,5153.3,5214.2,5038.36,5078.49,1143.17280521
2020-03-16 16:15:00,5078.49,5087.42,4971.05,5045.38,855.45059378
2020-03-16 16:30:00,5047.94,5127.07,5001.47,5044.92,910.97812377
2020-03-16 16:45:00,5044.89,5044.89,4974.16,5021.34,895.72967887
2020-03-16 17:00:00,5017.57,5062.13,5000.38,5042.36,805.5401488
2020-03-16 17:15:00,5039.0,5091.5,5033.79,5073.79,797.06988624
2020-03-16 17:30:00,5075.18,5097.67,5020.22,5058.97,437.64883618
2020-03-16 17:45:00,5058.97,5098.0,5051.67,5085.01,498.25977832
2020-03-16 18:00:00,5085.0,5085.0,5038.0,5067.93,309.65359881
2020-03-16 18:15:00,5068.93,5099.0,5030.94,5067.81,280.68920515
2020-03-16 18:30:00,5068.9,5162.33,5063.56,5090.04,782.09721213
